单位,中文名称,单位类型,补充说明,换算公式
0_to_100_kmh,0-100公里/小时加速时间,性能指标,需要时间数据，无法直接转换,仅表示性能指标
0_to_60_mph,0-60英里/小时加速时间,性能指标,需要时间数据，无法直接转换,仅表示性能指标
accelerated_reader,加速阅读器等级,教育等级,需要专业评估系统，无法简单转换,无固定公式
actuation,操作次数,计数单位,简单转换,基准单位
adult_mx,墨西哥成人尺码,服装尺码,需要尺寸对照表，无法简单转换,无固定公式
adult_uk,英国成人尺码,服装尺码,需要尺寸对照表，无法简单转换,无固定公式
adult_us,美国成人尺码,服装尺码,需要尺寸对照表，无法简单转换,无固定公式
afghan_afghani,阿富汗尼,货币,需要实时汇率，无法简单转换,无固定公式
albanian_lek,阿尔巴尼亚列克,货币,需要实时汇率，无法简单转换,无固定公式
algerian_dinar,阿尔及利亚第纳尔,货币,需要实时汇率，无法简单转换,无固定公式
amp_hours,安时,电池容量,简单转换,1 Ah = 1000 mAh
amperes_per_watts,安培/瓦特,电学效率,简单转换,基准单位
amps,安培,电流,简单转换,基准单位
ampule,安瓿,药品包装,计数单位，无法转换,基准单位
ampules,安瓿(复数),药品包装,计数单位，无法转换,基准单位
angolan_kwanza,安哥拉宽扎,货币,需要实时汇率，无法简单转换,无固定公式
angstrom,埃,长度,简单转换,1 Å = 10⁻¹⁰ m = 0.1 nm
ansi_lumens,安流明,光通量,简单转换,基准单位
applicator,涂抹器,医疗器械,计数单位，无法转换,基准单位
arc_minute,角分,角度,简单转换,1′ = 1/60° = π/10800 rad
arc_sec,角秒,角度,简单转换,1″ = 1/3600° = π/648000 rad
argentine_peso,阿根廷比索,货币,需要实时汇率，无法简单转换,无固定公式
armenian_dram,亚美尼亚德拉姆,货币,需要实时汇率，无法简单转换,无固定公式
aruban_florin,阿鲁巴弗罗林,货币,需要实时汇率，无法简单转换,无固定公式
assistant,助理,人员计数,计数单位，无法转换,基准单位
athens_reading_level,雅典阅读水平,教育等级,需要专业评估，无法简单转换,无固定公式
atmosphere,标准大气压,压力,简单转换,1 atm = 101325 Pa
attofarad,阿法,电容,简单转换,1 aF = 10⁻¹⁸ F
australian_dollars,澳元,货币,需要实时汇率，无法简单转换,无固定公式
austrian_schillings,奥地利先令,货币,已淘汰，需要历史汇率,无固定公式
azerbaijani_manat,阿塞拜疆马纳特,货币,需要实时汇率，无法简单转换,无固定公式
baby_boys_us,美国男婴尺码,服装尺码,需要尺寸对照表，无法简单转换,无固定公式
baby_girls_us,美国女婴尺码,服装尺码,需要尺寸对照表，无法简单转换,无固定公式
bag,袋,包装单位,计数单位，无法转换,基准单位
bahamian_dollar,巴哈马元,货币,需要实时汇率，无法简单转换,无固定公式
bahraini_dinar,巴林第纳尔,货币,需要实时汇率，无法简单转换,无固定公式
bangladeshi_taka,孟加拉塔卡,货币,需要实时汇率，无法简单转换,无固定公式
bante,班特(未知单位),未知单位,具体含义不明，无法转换,无固定公式
bar,巴,压力,简单转换,1 bar = 100000 Pa
barbados_dollar,巴巴多斯元,货币,需要实时汇率，无法简单转换,无固定公式
barcol,巴氏硬度,材料硬度,需要专业测试数据，无法简单转换,无固定公式
bars,巴(复数),压力,简单转换,1 bar = 100000 Pa
belarusian_ruble,白俄罗斯卢布,货币,需要实时汇率，无法简单转换,无固定公式
belgian_francs,比利时法郎,货币,已淘汰，需要历史汇率,无固定公式
belize_dollar,伯利兹元,货币,需要实时汇率，无法简单转换,无固定公式
bermudian_dollar,百慕大元,货币,需要实时汇率，无法简单转换,无固定公式
bhutanese_ngultrum,不丹努尔特鲁姆,货币,需要实时汇率，无法简单转换,无固定公式
big_boys_us,美国大童尺码,服装尺码,需要尺寸对照表，无法简单转换,无固定公式
big_child_us,美国大童尺码,服装尺码,需要尺寸对照表，无法简单转换,无固定公式
big_girls_us,美国大女童尺码,服装尺码,需要尺寸对照表，无法简单转换,无固定公式
bioequivalent_allergy_unit,生物等效过敏单位,生物活性,需要具体标准，无法简单转换,无固定公式
bits,比特,数据存储,简单转换,1 bit = 0.125 byte
bits_per_second,比特/秒,数据传输率,简单转换,基准单位
blister,泡罩包装,药品包装,计数单位，无法转换,基准单位
boliviano,玻利维亚诺,货币,需要实时汇率，无法简单转换,无固定公式
botswana_pula,博茨瓦纳普拉,货币,需要实时汇率，无法简单转换,无固定公式
bottle,瓶,包装单位,计数单位，无法转换,基准单位
box,盒,包装单位,计数单位，无法转换,基准单位
boys_us,美国男童尺码,服装尺码,需要尺寸对照表，无法简单转换,无固定公式
brazilian_real,巴西雷亚尔,货币,需要实时汇率，无法简单转换,无固定公式
brinell,布氏硬度,材料硬度,需要专业测试数据，无法简单转换,无固定公式
brinnell,布氏硬度(拼写变体),材料硬度,需要专业测试数据，无法简单转换,无固定公式
brunei_dollar,文莱元,货币,需要实时汇率，无法简单转换,无固定公式
btu_per_hour_per_foot_per_fahrenheit,BTU/小时·英尺·华氏度,热导率,简单转换,1 BTU/(h·ft·°F) = 1.73073 W/(m·K)
btus,英热单位,能量,简单转换,1 BTU = 1055.05585262 J
bulgarian_lev,保加利亚列弗,货币,需要实时汇率，无法简单转换,无固定公式
burundian_franc,布隆迪法郎,货币,需要实时汇率，无法简单转换,无固定公式
bytes,字节,数据存储,简单转换,基准单位
bytes_per_second,字节/秒,数据传输率,简单转换,1 B/s = 8 bps
calls,呼叫次数,计数单位,简单转换,基准单位
calories,卡路里,能量,简单转换,1 cal = 4.184 J
cambodian_riel,柬埔寨瑞尔,货币,需要实时汇率，无法简单转换,无固定公式
can,罐,包装单位,计数单位，无法转换,基准单位
canadian_dollars,加元,货币,需要实时汇率，无法简单转换,无固定公式
candela,坎德拉,发光强度,简单转换,基准单位
candela_per_square_meter,坎德拉/平方米,亮度,简单转换,1 cd/m² = 1 nit
candle_power,烛光,发光强度,简单转换,1 CP = 1 cd
cannister,罐,包装单位,计数单位，无法转换,基准单位
cape_verde_escudo,佛得角埃斯库多,货币,需要实时汇率，无法简单转换,无固定公式
